corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,4,70.44180889986455,None,None,0,83.46200619987212,None,83.46200619987212,None,,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,1,1,22,,,None,0,102.47830670000985,None,102.47830670000985,None,,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,2,2,30,,,s,0,122.4780420998577,None,122.4780420998577,None,19.90040359995328,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,3,3,2,,,k,1,142.39602270000614,None,142.39602270000614,None,3.0646348998416215,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
s,None,0,4,4,5,,,k,0,145.47673149988987,None,145.47673149988987,None,1.536492699990049,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,5,5,14,,,s,0,147.0410348000005,None,147.0410348000005,None,1.5001358999870718,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
s,None,0,6,6,19,,,s,1,148.55712509993464,None,148.55712509993464,None,1.6971591000910848,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
s,s = left,0,7,7,0,,,k,0,150.27221979992464,None,150.27221979992464,None,0.7325607999227941,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
s,None,0,8,8,26,,,k,0,151.02233619987965,None,151.02233619987965,None,0.6483370999339968,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,9,9,28,,,k,1,151.68821519985795,None,151.68821519985795,None,1.71345640020445,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
s,None,0,10,10,15,,,s,1,153.41997139994055,None,153.41997139994055,None,3.2964601998683065,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
k,None,0,11,11,31,,,k,1,156.73373209987767,None,156.73373209987767,None,0.9581876001320779,,,,,,,1,001,2020_Nov_01_1952,road map expt,2020.2.4,60.062621332313476,
