corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,21,13.079490999924019,None,s,1,0.551527600036934,14.46391490008682,None,14.46391490008682,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,1,1,17,,,s,0,0.41936809988692403,15.041128400014713,None,15.041128400014713,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,2,2,20,,,s,1,0.11757490015588701,15.491503200028092,None,15.491503200028092,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,3,3,25,,,s,1,0.1439379001967609,15.624892099993303,None,15.624892099993303,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,4,4,7,,,s,0,0.12435210007242858,15.791647100122645,None,15.791647100122645,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,5,5,22,,,s,0,0.1442920002155006,15.940680200001225,None,15.940680200001225,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,6,6,11,,,s,1,0.14970539999194443,16.1080237000715,None,16.1080237000715,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,7,7,15,,,s,1,0.13616660004481673,16.27446350012906,None,16.27446350012906,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,8,8,27,,,s,0,0.1335865999571979,16.441023099934682,None,16.441023099934682,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,9,9,19,,,s,1,0.15308750001713634,16.591750500025228,None,16.591750500025228,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,10,10,14,,,s,0,0.13258190010674298,16.774068099912256,None,16.774068099912256,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,11,11,26,,,s,1,0.14901400008238852,16.923139000078663,None,16.923139000078663,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,12,12,6,,,s,0,0.14472109987400472,17.09057780005969,None,17.09057780005969,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,13,13,2,,,s,0,0.16089459997601807,17.257070699939504,None,17.257070699939504,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,14,14,28,,,s,0,0.14467359986156225,17.44010420003906,None,17.44010420003906,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,15,15,24,,,s,1,0.1308269000146538,17.60663489997387,None,17.60663489997387,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,16,16,8,,,s,0,0.15509849996306002,17.756656399928033,None,17.756656399928033,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,17,17,3,,,s,0,0.14004850015044212,17.94019680004567,None,17.94019680004567,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,18,18,31,,,s,0,0.14857450011186302,18.105736100114882,None,18.105736100114882,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,19,19,5,,,s,1,0.16158850002102554,18.27204619999975,None,18.27204619999975,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
s,None,0,20,20,29,,,s,1,0.1548671000637114,18.455481300130486,None,18.455481300130486,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,21,21,10,,,s,0,0.14005360007286072,18.639187399996445,None,18.639187399996445,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
k,None,0,22,22,30,,,s,0,0.14813000010326505,18.805817499989644,None,18.805817499989644,None,,,,,,,1,001,2020_Nov_01_2146,road map expt,2020.2.4,60.08542951262478,
