corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,10,11.538029900053516,None,None,0,12.992272200062871,None,12.992272200062871,None,,,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,1,1,9,,,['s'],0,32.742602800019085,None,32.742602800019085,None,[2.1985758000519127],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,2,2,13,,,['k'],0,34.95957319997251,None,34.95957319997251,None,[0.09907880006358027],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,3,3,19,,,['s'],0,35.07381849992089,None,35.07381849992089,None,[0.049662299919873476],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,4,4,18,,,['k'],0,35.14733009994961,None,35.14733009994961,None,[0.04501209990121424],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,5,5,20,,,['s'],0,35.20694599999115,None,35.20694599999115,None,[0.08709569997154176],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,6,6,25,,,['k'],0,35.325967099983245,None,35.325967099983245,None,[0.021266099996864796],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,7,7,5,,,['s'],0,35.37432719999924,None,35.37432719999924,None,[0.06863299990072846],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,8,8,11,,,['k'],0,35.456811799900606,None,35.456811799900606,None,[0.05088700004853308],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,9,9,7,,,['s'],0,35.52551580010913,None,35.52551580010913,None,[0.08391569997183979],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,10,10,21,,,['k'],0,35.64094979991205,None,35.64094979991205,None,[0.01647999999113381],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,11,11,2,,,['k'],0,35.67467120010406,None,35.67467120010406,None,[0.11631469987332821],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,12,12,14,,,['s'],0,35.807359599974006,None,35.807359599974006,None,[0.09043910005129874],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,13,13,15,,,['k'],0,35.92438660003245,None,35.92438660003245,None,[0.15989410015754402],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,14,14,6,,,['k'],0,36.10802910011262,None,36.10802910011262,None,[0.4113672999665141],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,15,15,27,,,['s'],0,36.54060279997066,None,36.54060279997066,None,[0.07482219999656081],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,16,16,3,,,['k'],0,36.639425500063226,None,36.639425500063226,None,[0.12973739998415112],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,17,17,29,,,['s'],0,36.79014679999091,None,36.79014679999091,None,[0.13233119994401932],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,18,18,23,,,['k'],0,36.940368900075555,None,36.940368900075555,None,[0.11112649994902313],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,19,19,8,,,['s'],0,37.07292219996452,None,37.07292219996452,None,[0.1414429999422282],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,20,20,4,,,['k'],0,37.239326799986884,None,37.239326799986884,None,[0.0876114999409765],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,21,21,30,,,['s'],0,37.35526129999198,None,37.35526129999198,None,[0.1946118997875601],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,22,22,31,,,['k'],0,37.572467900114134,None,37.572467900114134,None,[0.10602919990196824],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,23,23,26,,,['s'],0,37.70588980009779,None,37.70588980009779,None,[0.1557706999592483],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,24,24,24,,,['k'],0,37.88893750007264,None,37.88893750007264,None,[0.12912579998373985],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,None,0,25,25,16,,,['s'],0,38.038830999983475,None,38.038830999983475,None,[0.19849739992059767],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,k = right,0,26,26,1,,,['k'],0,38.25535409990698,None,38.25535409990698,None,[0.17173680011183023],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
k,None,0,27,27,22,,,['s'],0,38.454338799929246,None,38.454338799929246,None,[0.14998110011219978],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
s,s = left,0,28,28,0,,,['k'],0,38.622431700117886,None,38.622431700117886,None,[0.1339630999136716],,,1,001,2020_Nov_01_2208,road map expt,2020.2.4,59.77607880172207,
