corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,28,10.070008600130677,None,['s'],0,[3.6897412999533117],10.98447549995035,None,10.98447549995035,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,s = left,0,1,1,0,,,None,0,,14.705271299928427,None,14.705271299928427,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,2,2,25,,,['s'],0,[19.274548700079322],34.70562890009023,34.70562890009023,34.70562890009023,34.70562890009023,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,3,3,24,,,['k'],0,[2.9918590001761913],54.01094920001924,None,54.01094920001924,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,4,4,21,,,['s'],0,[0.07321460009552538],57.020322900032625,None,57.020322900032625,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,5,5,14,,,['k'],0,[0.04185959999449551],57.12780659995042,None,57.12780659995042,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,6,6,11,,,['s'],0,[0.05132229998707771],57.19244160014205,None,57.19244160014205,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,7,7,7,,,['k'],0,[0.044468500185757875],57.27410769998096,None,57.27410769998096,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,8,8,19,,,['s'],0,[0.08040370000526309],57.33898070012219,None,57.33898070012219,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,9,9,10,,,['k'],0,[0.015299099963158369],57.44010840007104,None,57.44010840007104,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,10,10,29,,,"['s', 'k']",0,"[0.11662000021897256, 0.12198070017620921]",57.47262750007212,None,57.47262750007212,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,11,11,5,,,['k'],0,[0.11378560005687177],57.619698400143534,None,57.619698400143534,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,12,12,18,,,['k'],0,[0.1320144000928849],57.75636400002986,None,57.75636400002986,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,13,13,22,,,['s'],0,[0.039324100129306316],57.90323200006969,None,57.90323200006969,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,14,14,20,,,['k'],0,[0.08206799998879433],57.972541800001636,None,57.972541800001636,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,k = right,0,15,15,1,,,['s'],0,[0.024751099990680814],58.0728096999228,None,58.0728096999228,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,16,16,30,,,['k'],0,[0.08298179996199906],58.12149089993909,None,58.12149089993909,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,17,17,9,,,['s'],0,[0.040029200026765466],58.223148100078106,None,58.223148100078106,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,18,18,15,,,['k'],0,[0.05740129994228482],58.28589530009776,None,58.28589530009776,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,19,19,3,,,['s'],0,[0.07140520005486906],58.37285119993612,None,58.37285119993612,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,20,20,17,,,['k'],0,[0.0184043999761343],58.47411589999683,None,58.47411589999683,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,21,21,16,,,['s'],0,[0.09572990005835891],58.5225377001334,None,58.5225377001334,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,22,22,6,,,['s'],0,[0.12466179998591542],58.63937860005535,None,58.63937860005535,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,23,23,4,,,['k'],0,[0.1431181998923421],58.78556410013698,None,58.78556410013698,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,24,24,23,,,['k'],0,[0.10410959995351732],58.957586700096726,None,58.957586700096726,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,25,25,12,,,['s'],0,[0.02621120004914701],59.08906770008616,None,59.08906770008616,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,0,26,26,26,,,['k'],0,[0.059454800095409155],59.135405299952254,None,59.135405299952254,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,27,27,8,,,['s'],0,[0.06741990009322762],59.21882509998977,None,59.21882509998977,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,28,28,13,,,['k'],0,[0.025119000114500523],59.30378259997815,None,59.30378259997815,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,29,29,2,,,"['s', 'k']",0,"[0.1109402000438422, 0.11738579999655485]",59.352258699946105,None,59.352258699946105,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,30,30,31,,,['k'],0,[0.12204469996504486],59.48950979998335,None,59.48950979998335,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,0,31,31,27,,,['k'],0,[0.11031650006771088],59.64130929997191,None,59.64130929997191,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,0,32,2,,,['s'],0,[0.007392500061541796],59.77067660004832,None,59.77067660004832,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,1,33,16,,,['k'],0,[0.0657816999591887],59.80361669999547,None,59.80361669999547,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,2,34,4,,,['s'],0,[0.05327709997072816],59.884983099997044,None,59.884983099997044,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,3,35,6,,,['k'],0,[0.03858949989080429],59.96903720009141,None,59.96903720009141,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,4,36,21,,,['s'],0,[0.07211710000410676],60.037003400037065,None,60.037003400037065,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,5,37,31,,,['k'],0,[0.012046900112181902],60.139764700084925,None,60.139764700084925,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,6,38,18,,,['s'],0,[0.09454840002581477],60.1687016999349,None,60.1687016999349,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,s = left,1,7,39,0,,,['k'],0,[0.12226189998909831],60.28650590009056,None,60.28650590009056,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,8,40,5,,,['k'],0,[0.08651970000937581],60.438706499990076,None,60.438706499990076,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,9,41,25,,,['s'],0,[0.061730099841952324],60.55438460013829,None,60.55438460013829,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,10,42,27,,,['k'],0,[0.043722799979150295],60.63609530008398,None,60.63609530008398,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,11,43,15,,,['s'],0,[0.06710200011730194],60.70317310001701,None,60.70317310001701,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,12,44,8,,,['k'],0,[0.017958400072529912],60.80090979998931,None,60.80090979998931,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,k = right,1,13,45,1,,,['s'],0,[0.11047050007618964],60.83407470001839,None,60.83407470001839,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,14,46,3,,,"['s', 'k']",0,"[0.13753310008905828, 0.1425675000064075]",60.96814170014113,None,60.96814170014113,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,15,47,7,,,['k'],0,[0.09702599979937077],61.1369374000933,None,61.1369374000933,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
s,None,1,16,48,29,,,['s'],0,[0.05562770017422736],61.252846400020644,None,61.252846400020644,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
k,None,1,17,49,14,,,['k'],0,[0.0216198000125587],61.34076360007748,None,61.34076360007748,None,1,001,2020_Nov_01_2228,road map expt,2020.2.4,59.95394343476993,
