corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.started,directionResponses.stopped,directionResponses.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,14.423323499970138,None,16.357328800018877,None,None,0,16.357328800018877,None,,,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,1,0,1,0,,,35.8398759001866,None,['k'],0,35.8398759001866,None,[3.5133613999933004],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,2,0,2,0,,,39.36838540015742,None,['s'],0,39.36838540015742,None,[0.30670699989423156],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,3,0,3,0,,,39.70141460001469,None,['k'],0,39.70141460001469,None,[0.24187539983540773],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,4,0,4,0,,,39.96797960018739,None,['s'],0,39.96797960018739,None,[0.2118414998985827],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,5,0,5,0,,,40.201168899890035,None,['k'],0,40.201168899890035,None,[0.22336980002000928],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,6,0,6,0,,,40.45170499989763,None,['s'],0,40.45170499989763,None,[0.20888499962165952],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,7,0,7,0,,,40.68352530011907,None,['k'],0,40.68352530011907,None,[0.22893149964511395],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,8,0,8,0,,,40.93424949981272,None,['s'],0,40.93424949981272,None,[0.21724179992452264],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,9,0,9,0,,,41.166952800005674,None,['k'],0,41.166952800005674,None,[0.2525781998410821],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,10,0,10,0,,,41.45012289984152,None,['s'],0,41.45012289984152,None,[0.2150171003304422],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,11,0,11,0,,,41.68338169995695,None,['k'],0,41.68338169995695,None,[0.22268070001155138],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,12,0,12,0,,,41.93328080000356,None,['s'],0,41.93328080000356,None,[0.23665650002658367],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,13,0,13,0,,,42.19946990022436,None,['k'],0,42.19946990022436,None,[0.22262649983167648],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,14,0,14,0,,,42.44933049986139,None,['s'],0,42.44933049986139,None,[0.21218529995530844],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,15,0,15,0,,,42.682518400251865,None,['k'],0,42.682518400251865,None,[0.26557249994948506],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,16,0,16,0,,,42.9654179001227,None,['s'],0,42.9654179001227,None,[0.23909310018643737],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,17,0,17,0,,,43.23193150013685,None,['k'],0,43.23193150013685,None,[0.2650863998569548],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,18,0,18,0,,,43.51506010023877,None,['s'],0,43.51506010023877,None,[0.2064016000367701],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,19,0,19,0,,,43.747639200184494,None,['k'],0,43.747639200184494,None,[0.26321909995749593],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,20,0,20,0,,,44.03129079984501,None,['s'],0,44.03129079984501,None,[0.1998654999770224],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,21,0,21,0,,,44.247861499898136,None,['k'],0,44.247861499898136,None,[0.27700760029256344],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,22,0,22,0,,,44.54706719983369,None,['s'],0,44.54706719983369,None,[0.24155290005728602],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,23,0,23,0,,,44.81396960001439,None,['k'],0,44.81396960001439,None,[0.26224880013614893],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,24,0,24,0,,,45.09720400022343,None,['s'],0,45.09720400022343,None,[0.3252648999914527],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,25,0,25,0,,,45.446857899893075,None,['k'],0,45.446857899893075,None,[0.2980951997451484],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,26,0,26,0,,,45.76268059993163,None,['s'],0,45.76268059993163,None,[0.26731729973107576],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,27,0,27,0,,,46.04625939996913,None,['k'],0,46.04625939996913,None,[0.29206079989671707],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,28,0,28,0,,,46.362837200053036,None,['s'],0,46.362837200053036,None,[0.2320690997876227],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,29,0,29,0,,,46.612295700237155,None,['k'],0,46.612295700237155,None,[0.2783399000763893],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
s,s = left,30,0,30,0,,,46.91224269988015,None,['s'],0,46.91224269988015,None,[0.2354349996894598],,,1,001,2020_Nov_10_2252,road map expt,2020.2.4,60.05926645998328,
