1.7715 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.2893 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
20.7598 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020964A14780>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000209649E57B8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.7603 	EXP 	window1: mouseVisible = True
20.7604 	EXP 	window1: recordFrameIntervals = False
20.9233 	EXP 	window1: recordFrameIntervals = True
21.1074 	EXP 	window1: recordFrameIntervals = False
22.5074 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
23.1526 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
23.2545 	EXP 	instrText: autoDraw = True
40.7356 	DATA 	Keypress: space
40.8602 	EXP 	Imported road map conditions.xlsx as conditions, 32 conditions, 2 params
40.8609 	EXP 	Created sequence: sequential, trialTypes=32, nReps=32, seed=None
40.8624 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
41.2026 	EXP 	instrText: autoDraw = False
41.2026 	EXP 	map: autoDraw = True
44.1624 	DATA 	Keypress: left
45.0106 	DATA 	Keypress: left
46.9598 	DATA 	Keypress: right
48.3914 	DATA 	Keypress: right
49.3410 	DATA 	Keypress: left
50.1233 	DATA 	Keypress: left
51.3388 	DATA 	Keypress: right
52.1891 	DATA 	Keypress: right
53.0381 	DATA 	Keypress: right
55.8209 	DATA 	Keypress: left
56.8233 	DATA 	Keypress: right
57.8015 	DATA 	Keypress: left
58.7665 	DATA 	Keypress: left
60.7708 	EXP 	New trial (rep=0, index=1): OrderedDict([('corrAns', 's'), ('directNote', 'k = right')])
60.7785 	EXP 	map: autoDraw = False
60.7785 	EXP 	map: autoDraw = True
62.9958 	DATA 	Keypress: right
63.6789 	DATA 	Keypress: right
64.3286 	DATA 	Keypress: left
65.2940 	DATA 	Keypress: left
68.9080 	DATA 	Keypress: left
69.3746 	DATA 	Keypress: right
71.0389 	DATA 	Keypress: left
72.1902 	DATA 	Keypress: right
75.5859 	DATA 	Keypress: left
77.1366 	DATA 	Keypress: right
78.0013 	DATA 	Keypress: left
78.2503 	DATA 	Keypress: right
78.7174 	DATA 	Keypress: left
79.0487 	DATA 	Keypress: right
80.7641 	EXP 	New trial (rep=0, index=2): OrderedDict([('corrAns', 'k'), ('directNote', None)])
80.7761 	EXP 	map: autoDraw = False
80.7761 	EXP 	map: autoDraw = True
100.7638 	EXP 	New trial (rep=0, index=3): OrderedDict([('corrAns', 'k'), ('directNote', None)])
100.7755 	EXP 	map: autoDraw = False
100.7755 	EXP 	map: autoDraw = True
120.7638 	EXP 	New trial (rep=0, index=4): OrderedDict([('corrAns', 's'), ('directNote', None)])
120.7764 	EXP 	map: autoDraw = False
120.7764 	EXP 	map: autoDraw = True
125.0290 	DATA 	Keypress: escape
125.6860 	EXP 	window1: mouseVisible = True
