corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,19,18.692396899918094,None,None,0,25.933126699877903,None,25.933126699877903,None,,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,1,1,24,,,None,0,45.780218799831346,None,45.780218799831346,None,,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,2,2,17,,,None,0,65.78050359990448,None,65.78050359990448,None,,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,3,3,27,,,None,0,85.78091740002856,None,85.78091740002856,None,,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,4,4,23,,,None,0,105.78033049986698,None,105.78033049986698,None,,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,5,5,10,,,s,0,125.78117219987325,None,125.78117219987325,None,14.798644700087607,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,6,6,8,,,s,0,140.60388529999182,None,140.60388529999182,None,1.0631903999019414,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,7,7,12,,,k,0,141.6849095998332,None,141.6849095998332,None,1.469408400123939,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,8,8,6,,,k,1,143.18284389982,None,143.18284389982,None,0.8266070000827312,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,9,9,18,,,s,0,144.0328418998979,None,144.0328418998979,None,3.737250299891457,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,10,10,5,,,k,0,147.7974755000323,None,147.7974755000323,None,0.7059797998517752,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,s = left,0,11,11,0,,,k,0,148.52920680004172,None,148.52920680004172,None,1.074682200094685,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,12,12,11,,,k,0,149.62961449986324,None,149.62961449986324,None,1.1356039999518543,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,13,13,29,,,s,1,150.7938428998459,None,150.7938428998459,None,2.3379408000037074,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,14,14,20,,,k,0,153.15875369985588,None,153.15875369985588,None,0.9491925998590887,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,15,15,31,,,s,0,154.12462779995985,None,154.12462779995985,None,1.6653499000240117,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,16,16,7,,,s,0,155.80689609982073,None,155.80689609982073,None,1.8382005000021309,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,17,17,13,,,k,1,157.67163879983127,None,157.67163879983127,None,1.715841299854219,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,18,18,22,,,k,1,159.40755139989778,None,159.40755139989778,None,0.694607200101018,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,19,19,25,,,s,1,160.12099989992566,None,160.12099989992566,None,0.6803935000207275,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,20,20,15,,,s,1,160.82023159996606,None,160.82023159996606,None,0.7963421999011189,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,21,21,14,,,k,1,161.63596719992347,None,161.63596719992347,None,1.2223985001910478,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,22,22,26,,,k,0,162.88427959987894,None,162.88427959987894,None,6.751847399864346,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,23,23,3,,,s,0,169.66179279983044,None,169.66179279983044,None,1.4905861001461744,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,k = right,0,24,24,1,,,k,0,171.17707349988632,None,171.17707349988632,None,1.596620500087738,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,25,25,30,,,s,0,172.79247729992494,None,172.79247729992494,None,0.0016403000336140394,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,26,26,4,,,k,0,172.8092084999662,None,172.8092084999662,None,0.15955089987255633,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,27,27,2,,,s,0,172.99250579997897,None,172.99250579997897,None,0.02431030012667179,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,28,28,21,,,k,0,173.04242970002815,None,173.04242970002815,None,0.09557699994184077,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,29,29,9,,,s,1,173.15884259995073,None,173.15884259995073,None,0.14627539995126426,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
k,None,0,30,30,28,,,s,0,173.3246675999835,None,173.3246675999835,None,0.13232829980552197,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
s,None,0,31,31,16,,,k,0,173.47528629982844,None,173.47528629982844,None,0.14945079991593957,,,,,,,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
,,,,,,,,,,,,,,,173.6438358000014,None,s,0.1268845999147743,173.6438358000014,None,1,001,2020_Oct_28_1419,road map expt,2020.2.4,59.94434760679644,
